year,latitude,longitude,co2
1/1/2017,-27,133,413.09
1/1/2017,-21.5,165.5,5.56
1/1/2017,-20,-175,0.14
1/1/2017,-18,175,1.34
1/1/2017,-16,167,0.18
1/1/2017,-15,-140,0.95
1/1/2017,-13.5833,-172.3333,0.23
1/1/2017,-8,159,0.24
1/1/2017,-8,178,0.01
1/1/2017,-6,147,7.39
1/1/2017,-0.5333,166.9167,0.06
1/1/2017,1.4167,173,0.07
1/1/2017,6.9167,158.25,0.18
1/1/2017,7.5,134.5,0.31
1/1/2017,9,168,0.12
1/1/2017,-34,-64,204.32
1/1/2017,-33,-56,6.84
1/1/2017,-30,-71,84.6
1/1/2017,-23,-58,5.85
1/1/2017,-17,-65,20.89
1/1/2017,-17,-65,20.89
1/1/2017,-10,-76,64.78
1/1/2017,-10,-55,476.07
1/1/2017,-2,-77.5,38.8
1/1/2017,4,-72,81.23
1/1/2017,4,-56,2.05
1/1/2017,5,-59,2.08
1/1/2017,8,-66,159.57
1/1/2017,8,-66,159.57
1/1/2016,-29.5,28.5,2.46
1/1/2016,-29,24,468.05
1/1/2016,-22,17,4
1/1/2016,-22,24,7.1
1/1/2016,-20.2833,57.55,4.09
1/1/2016,-20,30,9.93
1/1/2016,-20,47,3.04
1/1/2016,-18.25,35,9.81
1/1/2016,-15,30,4.58
1/1/2016,-13.5,34,1.32
1/1/2016,-12.5,18.5,35.35
1/1/2016,-12.1667,44.25,0.18
1/1/2016,-6,35,13.6
1/1/2016,-4.5833,55.6667,0.58
1/1/2016,-3.5,30,0.51
1/1/2016,-2,30,0.98
1/1/2016,-1,11.75,5.48
1/1/2016,-1,15,3.37
1/1/2016,0,25,4.82
1/1/2016,1,7,0.12
1/1/2016,1,32,5.57
1/1/2016,1,38,15.23
1/1/2016,2,10,6.46
1/1/2016,6,12,7.59
1/1/2016,6.5,-9.5,0.97
1/1/2016,7,21,0.31
1/1/2016,8,-5,10.76
1/1/2016,8,-5,10.76
1/1/2016,8,-2,15.1
1/1/2016,8,1.1667,2.75
1/1/2016,8,38,12.94
1/1/2016,8.5,-11.5,1.24
1/1/2016,9.5,2.25,6.75
1/1/2016,10,8,101.57
1/1/2016,10,49,0.72
1/1/2016,11,-10,2.6
1/1/2016,11.5,43,0.79
1/1/2016,12,-15,0.29
1/1/2016,13,-2,2.97
1/1/2016,13.4667,-16.5667,0.55
1/1/2016,14,-14,8.54
1/1/2016,15,19,0.73
1/1/2016,15,30,17.49
1/1/2016,15,39,0.76
1/1/2016,16,8,2.23
1/1/2016,17,-4,1.53
1/1/2016,20,-12,2.52
1/1/2016,25,17,51.31
1/1/2016,25,17,51.31
1/1/2016,27,30,208.91
1/1/2016,28,3,150.38
1/1/2016,32,-5,61.29
1/1/2016,34,9,26.91
1/1/2016,-8.55,125.5167,0.52
1/1/2016,-5,120,464.86
1/1/2016,1.3667,103.8,62.83
1/1/2016,2.5,112.5,251.09
1/1/2016,3.25,73,1.47
1/1/2016,4.5,114.6667,9.96
1/1/2016,4.5,114.6667,9.96
1/1/2016,7,81,21.95
1/1/2016,13,105,7.48
1/1/2016,13,122,119.27
1/1/2016,15,48,19.14
1/1/2016,15,100,324.83
1/1/2016,16,106,197.8
1/1/2016,16,106,197.8
1/1/2016,20,77,"2,377.45"
1/1/2016,21,57,64.44
1/1/2016,22,98,24.02
1/1/2016,22,98,24.02
1/1/2016,22.1667,113.55,1.42
1/1/2016,22.25,114.1667,43.24
1/1/2016,24,54,233.43
1/1/2016,24,90,85.25
1/1/2016,25,45,631.55
1/1/2016,25.5,51.25,118.69
1/1/2016,26,50.55,34.27
1/1/2016,27.5,90.5,1.11
1/1/2016,28,84,8.53
1/1/2016,29.3375,47.6581,103.46
1/1/2016,30,70,187.41
1/1/2016,31,36,21.63
1/1/2016,31.5,34.75,65.17
1/1/2016,32,53,637.56
1/1/2016,33,44,184.94
1/1/2016,33,65,12.26
1/1/2016,33.8333,35.8333,19.76
1/1/2016,35,33,7.31
1/1/2016,35,38,28
1/1/2016,35,105,"9,704.48"
1/1/2016,36,138,"1,204.32"
1/1/2016,37,127.5,595.07
1/1/2016,37,127.5,595.07
1/1/2016,39,35,402.82
1/1/2016,39,71,5.58
1/1/2016,40,45,5.96
1/1/2016,40,60,76.56
1/1/2016,40,127,54.93
1/1/2016,40.5,47.5,39.69
1/1/2016,41,64,97.93
1/1/2016,41,75,9.86
1/1/2016,42,43.5,9.84
1/1/2016,46,105,28.68
1/1/2016,48,68,278.36
1/1/2016,60,100,"1,668.07"
1/1/2016,60,100,"1,668.07"
1/1/2016,35,33,7.31
1/1/2016,35.8333,14.5833,1.42
1/1/2016,39,22,71.37
1/1/2016,39,35,402.82
1/1/2016,39.5,-8,50.27
1/1/2016,40,-4,260.99
1/1/2016,40,45,5.96
1/1/2016,40.5,47.5,39.69
1/1/2016,41,20,6.27
1/1/2016,41.8333,22,7.14
1/1/2016,42,19,2.57
1/1/2016,42,43.5,9.84
1/1/2016,42.5,1.6,0.51
1/1/2016,42.8333,12.8333,350.32
1/1/2016,43,25,45.29
1/1/2016,44,18,26
1/1/2016,44,21,43.35
1/1/2016,45.1667,15.5,18.22
1/1/2016,46,2,350.1
1/1/2016,46,15,14.4
1/1/2016,46,25,75.05
1/1/2016,47,8,39.2
1/1/2016,47,20,47.58
1/1/2016,47,29,5.2
1/1/2016,47.1667,9.5333,0.15
1/1/2016,47.3333,13.3333,67.4
1/1/2016,48,68,278.36
1/1/2016,48.6667,19.5,34
1/1/2016,49,32,235.16
1/1/2016,49.75,6.1667,9
1/1/2016,49.75,15.5,106.54
1/1/2016,50.8333,4,100.24
1/1/2016,51,9,801.75
1/1/2016,52,20,322.23
1/1/2016,52.5,5.75,165.52
1/1/2016,53,-8,39.93
1/1/2016,53,28,60.51
1/1/2016,54,-2,398.55
1/1/2016,56,10,37.12
1/1/2016,56,24,13.16
1/1/2016,57,25,7.26
1/1/2016,59,26,17.49
1/1/2016,60,100,"1,668.07"
1/1/2016,60,100,"1,668.07"
1/1/2016,62,10,44.03
1/1/2016,62,15,42.57
1/1/2016,64,26,47.93
1/1/2016,65,-18,3.49
1/1/2016,9,-80,10.2
1/1/2016,10,-84,8.57
1/1/2016,11,-61,41.02
1/1/2016,11,-61,41.02
1/1/2016,12.1167,-61.6667,0.27
1/1/2016,12.5,-69.9667,0.93
1/1/2016,13,-85,5.3
1/1/2016,13.1667,-59.5333,1.32
1/1/2016,13.25,-61.2,0.22
