year,latitude,longitude,co2
1/1/2006,23,-102,478.8
1/1/2006,24.25,-76,1.66
1/1/2006,32.3333,-64.75,0.65
1/1/2006,38,-97,"6,052.24"
1/1/2006,60,-95,570.49
1/1/2006,72,-40,0.63
1/1/2006,-41,174,37.52
1/1/2006,-27,133,392.68
1/1/2006,-21.5,165.5,2.71
1/1/2006,-20,-175,0.13
1/1/2006,-18,175,1.2
1/1/2006,-16,167,0.05
1/1/2006,-15,-140,0.82
1/1/2006,-13.5833,-172.3333,0.16
1/1/2006,-8,159,0.16
1/1/2006,-8,178,0.01
1/1/2006,-6,147,4.31
1/1/2006,-0.5333,166.9167,0.04
1/1/2006,1.4167,173,0.07
1/1/2006,6.9167,158.25,0.12
1/1/2006,7.5,134.5,0.26
1/1/2006,9,168,0.09
1/1/2006,-34,-64,174.62
1/1/2006,-33,-56,6.6
1/1/2006,-30,-71,63.97
1/1/2006,-23,-58,3.94
1/1/2006,-17,-65,14.92
1/1/2006,-17,-65,14.92
1/1/2006,-10,-76,34.41
1/1/2006,-10,-55,341.95
1/1/2006,-2,-77.5,28.52
1/1/2006,4,-72,62.2
1/1/2006,4,-56,1.74
1/1/2006,5,-59,1.29
1/1/2006,8,-66,168.54
1/1/2006,8,-66,168.54
1/1/2005,-29.5,28.5,2.01
1/1/2005,-29,24,415.05
1/1/2005,-22,17,2.31
1/1/2005,-22,24,4.09
1/1/2005,-20.2833,57.55,3.29
1/1/2005,-20,30,10.7
1/1/2005,-20,47,1.73
1/1/2005,-18.25,35,1.77
1/1/2005,-15,30,2.24
1/1/2005,-13.5,34,0.86
1/1/2005,-12.5,18.5,19.01
1/1/2005,-12.1667,44.25,0.14
1/1/2005,-6,35,5.36
1/1/2005,-4.5833,55.6667,0.69
1/1/2005,-3.5,30,0.15
1/1/2005,-2,30,0.52
1/1/2005,-1,11.75,4.86
1/1/2005,-1,15,0.97
1/1/2005,0,25,1.45
1/1/2005,1,7,0.08
1/1/2005,1,32,2.1
1/1/2005,1,38,8.34
1/1/2005,2,10,4.71
1/1/2005,6,12,3.59
1/1/2005,6.5,-9.5,0.71
1/1/2005,7,21,0.23
1/1/2005,8,-5,7.5
1/1/2005,8,-5,7.5
1/1/2005,8,-2,6.8
1/1/2005,8,1.1667,1.72
1/1/2005,8,38,4.96
1/1/2005,8.5,-11.5,0.46
1/1/2005,9.5,2.25,2.37
1/1/2005,10,8,105.71
1/1/2005,10,49,0.59
1/1/2005,11,-10,1.82
1/1/2005,11.5,43,0.41
1/1/2005,12,-15,0.21
1/1/2005,13,-2,1.12
1/1/2005,13.4667,-16.5667,0.29
1/1/2005,14,-14,5.54
1/1/2005,15,19,0.4
1/1/2005,15,30,10.03
1/1/2005,15,39,0.76
1/1/2005,16,8,0.71
1/1/2005,17,-4,0.9
1/1/2005,20,-12,1.44
1/1/2005,25,17,51.7
1/1/2005,25,17,51.7
1/1/2005,27,30,165.04
1/1/2005,28,3,106.47
1/1/2005,32,-5,45.53
1/1/2005,34,9,22.27
1/1/2005,-8.55,125.5167,0.18
1/1/2005,-5,120,343.58
1/1/2005,1.3667,103.8,30.33
1/1/2005,2.5,112.5,172.49
1/1/2005,3.25,73,0.6
1/1/2005,4.5,114.6667,4.87
1/1/2005,4.5,114.6667,4.87
1/1/2005,7,81,11.94
1/1/2005,13,105,2.77
1/1/2005,13,122,73.27
1/1/2005,15,48,19.79
1/1/2005,15,100,244.3
1/1/2005,16,106,94.86
1/1/2005,16,106,94.86
1/1/2005,20,77,"1,210.15"
1/1/2005,21,57,29.47
1/1/2005,22,98,11.53
1/1/2005,22,98,11.53
1/1/2005,22.1667,113.55,1.83
1/1/2005,22.25,114.1667,43.73
1/1/2005,24,54,114.55
1/1/2005,24,90,38.92
1/1/2005,25,45,395.85
1/1/2005,25.5,51.25,50.69
1/1/2005,26,50.55,19.13
1/1/2005,27.5,90.5,0.38
1/1/2005,28,84,3.05
1/1/2005,29.3375,47.6581,71.17
1/1/2005,30,70,134.76
1/1/2005,31,36,20.44
1/1/2005,31.5,34.75,56.52
1/1/2005,32,53,463.53
1/1/2005,33,44,112.98
1/1/2005,33,65,1.32
1/1/2005,33.8333,35.8333,16.65
1/1/2005,35,33,7.97
1/1/2005,35,38,49.88
1/1/2005,35,105,"5,771.17"
1/1/2005,36,138,"1,286.86"
1/1/2005,37,127.5,459.35
1/1/2005,37,127.5,459.35
1/1/2005,39,35,260.9
1/1/2005,39,71,2.42
1/1/2005,40,45,4.38
1/1/2005,40,60,48.23
1/1/2005,40,127,74.92
1/1/2005,40.5,47.5,34.29
1/1/2005,41,64,116.89
1/1/2005,41,75,5.51
1/1/2005,42,43.5,5.02
1/1/2005,46,105,8.57
1/1/2005,48,68,184.32
1/1/2005,60,100,"1,588.66"
1/1/2005,60,100,"1,588.66"
1/1/2005,35,33,7.97
1/1/2005,35.8333,14.5833,2.67
1/1/2005,39,22,113.93
1/1/2005,39,35,260.9
1/1/2005,39.5,-8,69.5
1/1/2005,40,-4,368.96
1/1/2005,40,45,4.38
1/1/2005,40.5,47.5,34.29
1/1/2005,41,20,4.25
1/1/2005,41.8333,22,11.27
1/1/2005,42,19,2.21
1/1/2005,42,43.5,5.02
1/1/2005,42.5,1.6,0.58
1/1/2005,42.8333,12.8333,495.23
1/1/2005,43,25,50.59
1/1/2005,44,18,16.05
1/1/2005,44,21,49.88
1/1/2005,45.1667,15.5,23.49
1/1/2005,46,2,432.64
1/1/2005,46,15,16.93
1/1/2005,46,25,100.97
1/1/2005,47,8,45.78
1/1/2005,47,20,60.5
1/1/2005,47,29,4.94
1/1/2005,47.1667,9.5333,0.23
1/1/2005,47.3333,13.3333,79.37
1/1/2005,48,68,184.32
1/1/2005,48.6667,19.5,42.91
1/1/2005,49,32,313.53
1/1/2005,49.75,6.1667,12.05
1/1/2005,49.75,15.5,125.29
1/1/2005,50.8333,4,125.64
1/1/2005,51,9,867.22
1/1/2005,52,20,321.67
1/1/2005,52.5,5.75,177.53
1/1/2005,53,-8,48.1
1/1/2005,53,28,62.05
1/1/2005,54,-2,570
1/1/2005,56,10,51.53
1/1/2005,56,24,14.09
1/1/2005,57,25,7.84
1/1/2005,59,26,17.14
1/1/2005,60,100,"1,588.66"
1/1/2005,60,100,"1,588.66"
1/1/2005,62,10,43.56
1/1/2005,62,15,53.84
1/1/2005,64,26,57.05
1/1/2005,65,-18,2.97
1/1/2005,9,-80,6.74
1/1/2005,10,-84,6.69
1/1/2005,11,-61,38.06
1/1/2005,11,-61,38.06
1/1/2005,12.1167,-61.6667,0.22
1/1/2005,12.5,-69.9667,2.72
1/1/2005,13,-85,4.27
1/1/2005,13.1667,-59.5333,1.32
1/1/2005,13.25,-61.2,0.22
1/1/2005,13.25,-61.2,0.22
1/1/2005,13.25,-61.2,0.22
1/1/2005,13.8333,-88.9167,6.35
1/1/2005,13.8833,-61.1333,0.37
1/1/2005,15,-86.5,7.43
1/1/2005,15.4167,-61.3333,0.12
1/1/2005,15.5,-90.25,12.35
1/1/2005,17.05,-61.8,0.43
1/1/2005,17.25,-88.75,0.42
1/1/2005,17.3333,-62.75,0.2
1/1/2005,18.25,-77.5,10.35
1/1/2005,18.5,-64.5,0.13
1/1/2005,19,-72.4167,2.05
1/1/2005,19,-70.6667,18.38
1/1/2005,21.5,-80,25.85
1/1/2005,21.75,-71.5833,0.12
1/1/2005,23,-102,465.91
1/1/2005,24.25,-76,1.74
1/1/2005,32.3333,-64.75,0.58
1/1/2005,38,-97,"6,132.01"
1/1/2005,60,-95,576.8
1/1/2005,72,-40,0.61
1/1/2005,-41,174,37.65
1/1/2005,-27,133,386.52
1/1/2005,-21.5,165.5,2.81
1/1/2005,-20,-175,0.11
1/1/2005,-18,175,1.08
1/1/2005,-16,167,0.06
1/1/2005,-15,-140,0.82
1/1/2005,-13.5833,-172.3333,0.16
1/1/2005,-8,159,0.16
1/1/2005,-8,178,0.01
1/1/2005,-6,147,4.38
1/1/2005,-0.5333,166.9167,0.06
1/1/2005,1.4167,173,0.06
1/1/2005,6.9167,158.25,0.12
1/1/2005,7.5,134.5,0.26
1/1/2005,9,168,0.08
1/1/2005,-34,-64,161.42
1/1/2005,-33,-56,5.73
1/1/2005,-30,-71,60.95
1/1/2005,-23,-58,3.79
1/1/2005,-17,-65,12.07
1/1/2005,-17,-65,12.07
1/1/2005,-10,-76,36.73
1/1/2005,-10,-55,342.09
1/1/2005,-2,-77.5,29.97
1/1/2005,4,-72,60.25
1/1/2005,4,-56,1.59
1/1/2005,5,-59,1.44
1/1/2005,8,-66,164.54
1/1/2005,8,-66,164.54
1/1/2004,-29.5,28.5,1.98
1/1/2004,-29,24,448.54
1/1/2004,-22,17,1.96
1/1/2004,-22,24,3.89
1/1/2004,-20.2833,57.55,3.09
1/1/2004,-20,30,9.43
1/1/2004,-20,47,1.79
1/1/2004,-18.25,35,1.86
1/1/2004,-15,30,2.1
1/1/2004,-13.5,34,0.92
1/1/2004,-12.5,18.5,18.7
1/1/2004,-12.1667,44.25,0.14
1/1/2004,-6,35,4.23
1/1/2004,-4.5833,55.6667,0.74
1/1/2004,-3.5,30,0.2
1/1/2004,-2,30,0.52
1/1/2004,-1,11.75,4.66
1/1/2004,-1,15,0.95
1/1/2004,0,25,1.16
1/1/2004,1,7,0.07
1/1/2004,1,32,1.68
1/1/2004,1,38,7.44
1/1/2004,2,10,5.21
1/1/2004,6,12,3.85
1/1/2004,6.5,-9.5,0.6
1/1/2004,7,21,0.23
1/1/2004,8,-5,7.34
1/1/2004,8,-5,7.34
1/1/2004,8,-2,7.15
1/1/2004,8,1.1667,1.74
1/1/2004,8,38,5.16
1/1/2004,8.5,-11.5,0.55
1/1/2004,9.5,2.25,2.48
1/1/2004,10,8,103.99
1/1/2004,10,49,0.59
1/1/2004,11,-10,1.91
1/1/2004,11.5,43,0.41
1/1/2004,12,-15,0.2
1/1/2004,13,-2,1.1
1/1/2004,13.4667,-16.5667,0.29
1/1/2004,14,-14,4.99
1/1/2004,15,19,0.38
1/1/2004,15,30,10.47
1/1/2004,15,39,0.77
1/1/2004,16,8,0.81
1/1/2004,17,-4,0.88
1/1/2004,20,-12,1.39
1/1/2004,25,17,49.96
1/1/2004,25,17,49.96
1/1/2004,27,30,149.14
1/1/2004,28,3,87.85
1/1/2004,32,-5,43.36
1/1/2004,34,9,21.93
1/1/2004,-8.55,125.5167,0.18
1/1/2004,-5,120,340.08
1/1/2004,1.3667,103.8,28.45
1/1/2004,2.5,112.5,162.09
1/1/2004,3.25,73,0.67
1/1/2004,4.5,114.6667,4.87
1/1/2004,4.5,114.6667,4.87
1/1/2004,7,81,12.15
1/1/2004,13,105,2.44
1/1/2004,13,122,72.77
1/1/2004,15,48,18.65
1/1/2004,15,100,240.24
1/1/2004,16,106,87.8
1/1/2004,16,106,87.8
1/1/2004,20,77,"1,145.55"
1/1/2004,21,57,27.59
1/1/2004,22,98,12.37
1/1/2004,22,98,12.37
1/1/2004,22.1667,113.55,1.71
1/1/2004,22.25,114.1667,41.57
1/1/2004,24,54,111.87
1/1/2004,24,90,37.16
1/1/2004,25,45,394.58
1/1/2004,25.5,51.25,42.71
1/1/2004,26,50.55,17.44
1/1/2004,27.5,90.5,0.29
1/1/2004,28,84,2.64
1/1/2004,29.3375,47.6581,63.11
1/1/2004,30,70,129.96
1/1/2004,31,36,18.67
1/1/2004,31.5,34.75,58.68
1/1/2004,32,53,442.09
1/1/2004,33,44,113.64
1/1/2004,33,65,0.94
1/1/2004,33.8333,35.8333,17.21
1/1/2004,35,33,7.79
1/1/2004,35,38,50.38
1/1/2004,35,105,"5,125.89"
1/1/2004,36,138,"1,280.04"
1/1/2004,37,127.5,478.61
1/1/2004,37,127.5,478.61
1/1/2004,39,35,241.91
1/1/2004,39,71,2.55
1/1/2004,40,45,3.69
1/1/2004,40,60,46.45
1/1/2004,40,127,71.72
1/1/2004,40.5,47.5,32.08
1/1/2004,41,64,125.72
1/1/2004,41,75,5.81
1/1/2004,42,43.5,4.28
1/1/2004,46,105,8.57
1/1/2004,48,68,171.06
1/1/2004,60,100,"1,570.86"
1/1/2004,60,100,"1,570.86"
1/1/2004,35,33,7.79
1/1/2004,35.8333,14.5833,2.56
1/1/2004,39,22,109.53
1/1/2004,39,35,241.91
1/1/2004,39.5,-8,67.22
1/1/2004,40,-4,354.29
1/1/2004,40,45,3.69
1/1/2004,40.5,47.5,32.08
1/1/2004,41,20,4.16
1/1/2004,41.8333,22,11.18
1/1/2004,42,19,2.33
1/1/2004,42,43.5,4.28
1/1/2004,42.5,1.6,0.56
1/1/2004,42.8333,12.8333,495.53
1/1/2004,43,25,49.51
1/1/2004,44,18,15.46
1/1/2004,44,21,52.74
1/1/2004,45.1667,15.5,23.04
1/1/2004,46,2,428.93
1/1/2004,46,15,16.63
1/1/2004,46,25,102.87
1/1/2004,47,8,45.23
1/1/2004,47,20,60.41
1/1/2004,47,29,4.61
1/1/2004,47.1667,9.5333,0.23
1/1/2004,47.3333,13.3333,78.05
1/1/2004,48,68,171.06
1/1/2004,48.6667,19.5,42.99
1/1/2004,49,32,306.26
1/1/2004,49.75,6.1667,11.79
1/1/2004,49.75,15.5,127.76
1/1/2004,50.8333,4,129.04
1/1/2004,51,9,888
1/1/2004,52,20,322.54
1/1/2004,52.5,5.75,181.45
1/1/2004,53,-8,46.13
1/1/2004,53,28,60.77
1/1/2004,54,-2,573.2
1/1/2004,56,10,55.11
1/1/2004,56,24,13.17
1/1/2004,57,25,7.75
1/1/2004,59,26,17.29
1/1/2004,60,100,"1,570.86"
1/1/2004,60,100,"1,570.86"
1/1/2004,62,10,44.34
1/1/2004,62,15,56.44
1/1/2004,64,26,68.96
1/1/2004,65,-18,3.1
1/1/2004,9,-80,5.71
1/1/2004,10,-84,6.8
1/1/2004,11,-61,33.34
1/1/2004,11,-61,33.34
1/1/2004,12.1167,-61.6667,0.21
1/1/2004,12.5,-69.9667,2.62
1/1/2004,13,-85,4.38
1/1/2004,13.1667,-59.5333,1.27
1/1/2004,13.25,-61.2,0.22
1/1/2004,13.25,-61.2,0.22
1/1/2004,13.25,-61.2,0.22
1/1/2004,13.8333,-88.9167,6.25
1/1/2004,13.8833,-61.1333,0.36
1/1/2004,15,-86.5,7.24
1/1/2004,15.4167,-61.3333,0.11
1/1/2004,15.5,-90.25,11.43
1/1/2004,17.05,-61.8,0.42
1/1/2004,17.25,-88.75,0.39
1/1/2004,17.3333,-62.75,0.21
1/1/2004,18.25,-77.5,10.57
1/1/2004,18.5,-64.5,0.12
1/1/2004,19,-72.4167,1.96
1/1/2004,19,-70.6667,18.07
1/1/2004,21.5,-80,24.87
1/1/2004,21.75,-71.5833,0.1
1/1/2004,23,-102,440.8
1/1/2004,24.25,-76,1.72
1/1/2004,32.3333,-64.75,0.58
1/1/2004,38,-97,"6,106.62"
1/1/2004,60,-95,585.83
1/1/2004,72,-40,0.58
1/1/2004,-41,174,36.06
1/1/2004,-27,133,383.2
1/1/2004,-21.5,165.5,2.52
1/1/2004,-20,-175,0.11
1/1/2004,-18,175,1.34
1/1/2004,-16,167,0.06
1/1/2004,-15,-140,0.76
1/1/2004,-13.5833,-172.3333,0.15
1/1/2004,-8,159,0.16
1/1/2004,-8,178,0.01
1/1/2004,-6,147,4.48
1/1/2004,-0.5333,166.9167,0.07
1/1/2004,1.4167,173,0.04
1/1/2004,6.9167,158.25,0.14
1/1/2004,7.5,134.5,0.25
1/1/2004,9,168,0.09
1/1/2004,-34,-64,157.03
1/1/2004,-33,-56,5.56
1/1/2004,-30,-71,59.05
1/1/2004,-23,-58,4.05
1/1/2004,-17,-65,11.02
1/1/2004,-17,-65,11.02
1/1/2004,-10,-76,31.56
1/1/2004,-10,-55,333.68
1/1/2004,-2,-77.5,28.79
1/1/2004,4,-72,54.55
1/1/2004,4,-56,1.56
1/1/2004,5,-59,1.63
1/1/2004,8,-66,151.27
1/1/2004,8,-66,151.27
1/1/2003,-29.5,28.5,1.93
1/1/2003,-29,24,403.24
1/1/2003,-22,17,1.87
1/1/2003,-22,24,3.83
1/1/2003,-20.2833,57.55,3.06
1/1/2003,-20,30,10.61
1/1/2003,-20,47,1.68
1/1/2003,-18.25,35,1.86
1/1/2003,-15,30,2.08
1/1/2003,-13.5,34,0.9
1/1/2003,-12.5,18.5,8.99
1/1/2003,-12.1667,44.25,0.13
1/1/2003,-6,35,3.69
1/1/2003,-4.5833,55.6667,0.55
1/1/2003,-3.5,30,0.16
1/1/2003,-2,30,0.51
1/1/2003,-1,11.75,4.61
1/1/2003,-1,15,0.92
1/1/2003,0,25,0.95
1/1/2003,1,7,0.07
1/1/2003,1,32,1.55
1/1/2003,1,38,6.59
1/1/2003,2,10,6.01
1/1/2003,6,12,3.7
1/1/2003,6.5,-9.5,0.52
1/1/2003,7,21,0.23
1/1/2003,8,-5,5.13
1/1/2003,8,-5,5.13
1/1/2003,8,-2,7.44
1/1/2003,8,1.1667,1.8
1/1/2003,8,38,4.87
1/1/2003,8.5,-11.5,0.57
1/1/2003,9.5,2.25,2.33
1/1/2003,10,8,101.31
1/1/2003,10,49,0.59
1/1/2003,11,-10,1.84
1/1/2003,11.5,43,0.42
1/1/2003,12,-15,0.19
1/1/2003,13,-2,1.07
1/1/2003,13.4667,-16.5667,0.29
1/1/2003,14,-14,4.8
1/1/2003,15,19,0.38
1/1/2003,15,30,8.28
1/1/2003,15,39,0.72
1/1/2003,16,8,0.75
1/1/2003,17,-4,0.84
1/1/2003,20,-12,1.29
1/1/2003,25,17,48.78
1/1/2003,25,17,48.78
1/1/2003,27,30,146.46
1/1/2003,28,3,91.05
1/1/2003,32,-5,37.5
1/1/2003,34,9,20.93
1/1/2003,-8.55,125.5167,0.16
1/1/2003,-5,120,316.85
1/1/2003,1.3667,103.8,31.09
1/1/2003,2.5,112.5,156.39
1/1/2003,3.25,73,0.51
1/1/2003,4.5,114.6667,4.47
1/1/2003,4.5,114.6667,4.47
1/1/2003,7,81,10.95
1/1/2003,13,105,2.38
1/1/2003,13,122,70.21
1/1/2003,15,48,17.08
1/1/2003,15,100,221.92
1/1/2003,16,106,76.28
1/1/2003,16,106,76.28
1/1/2003,20,77,"1,091.87"
1/1/2003,21,57,32.03
1/1/2003,22,98,9.78
1/1/2003,22,98,9.78
1/1/2003,22.1667,113.55,1.53
1/1/2003,22.25,114.1667,43.2
1/1/2003,24,54,105.68
1/1/2003,24,90,35.14
1/1/2003,25,45,326.52
1/1/2003,25.5,51.25,41.3
1/1/2003,26,50.55,16.44
1/1/2003,27.5,90.5,0.36
1/1/2003,28,84,2.81
1/1/2003,29.3375,47.6581,59.62
1/1/2003,30,70,117.49
1/1/2003,31,36,16.98
1/1/2003,31.5,34.75,62.41
1/1/2003,32,53,413.99
1/1/2003,33,44,90.79
1/1/2003,33,65,1.19
1/1/2003,33.8333,35.8333,18.53
1/1/2003,35,33,7.56
1/1/2003,35,38,53.58
1/1/2003,35,105,"4,452.31"
1/1/2003,36,138,"1,285.39"
1/1/2003,37,127.5,462.41
1/1/2003,37,127.5,462.41
1/1/2003,39,35,232.96
1/1/2003,39,71,2.06
1/1/2003,40,45,3.46
1/1/2003,40,60,44.52
1/1/2003,40,127,70.14
1/1/2003,40.5,47.5,30.63
1/1/2003,41,64,126.44
1/1/2003,41,75,5.38
1/1/2003,42,43.5,3.74
1/1/2003,46,105,8.01
1/1/2003,48,68,164.32
1/1/2003,60,100,"1,562.47"
1/1/2003,60,100,"1,562.47"
1/1/2003,35,33,7.56
1/1/2003,35.8333,14.5833,2.66
1/1/2003,39,22,109.08
1/1/2003,39,35,232.96
1/1/2003,39.5,-8,64.44
1/1/2003,40,-4,337.98
1/1/2003,40,45,3.46
1/1/2003,40.5,47.5,30.63
1/1/2003,41,20,4.29
1/1/2003,41.8333,22,11.3
1/1/2003,42,19,2.14
1/1/2003,42,43.5,3.74
1/1/2003,42.5,1.6,0.53
1/1/2003,42.8333,12.8333,491.48
1/1/2003,43,25,50.41
1/1/2003,44,18,14.35
1/1/2003,44,21,48.3
1/1/2003,45.1667,15.5,23.39
1/1/2003,46,2,428
1/1/2003,46,15,16.27
1/1/2003,46,25,103.58
1/1/2003,47,8,44.64
1/1/2003,47,20,61.94
1/1/2003,47,29,4.4
1/1/2003,47.1667,9.5333,0.23
1/1/2003,47.3333,13.3333,77.76
1/1/2003,48,68,164.32
1/1/2003,48.6667,19.5,42.43
1/1/2003,49,32,305.18
1/1/2003,49.75,6.1667,10.41
1/1/2003,49.75,15.5,127.05
1/1/2003,50.8333,4,127.95
1/1/2003,51,9,901.97
1/1/2003,52,20,318.42
1/1/2003,52.5,5.75,179.82
1/1/2003,53,-8,45.64
1/1/2003,53,28,57.11
1/1/2003,54,-2,571.6
1/1/2003,56,10,60.64
1/1/2003,56,24,12.59
1/1/2003,57,25,7.74
1/1/2003,59,26,17.09
1/1/2003,60,100,"1,562.47"
1/1/2003,60,100,"1,562.47"
1/1/2003,62,10,43.92
1/1/2003,62,15,57.22
1/1/2003,64,26,72.66
1/1/2003,65,-18,2.98
1/1/2003,9,-80,6.08
1/1/2003,10,-84,6.53
1/1/2003,11,-61,31.9
1/1/2003,11,-61,31.9
1/1/2003,12.1167,-61.6667,0.22
1/1/2003,12.5,-69.9667,2.56
1/1/2003,13,-85,4.34
1/1/2003,13.1667,-59.5333,1.24
1/1/2003,13.25,-61.2,0.2
1/1/2003,13.25,-61.2,0.2
1/1/2003,13.25,-61.2,0.2
1/1/2003,13.8333,-88.9167,6.43
1/1/2003,13.8833,-61.1333,0.36
1/1/2003,15,-86.5,6.66
1/1/2003,15.4167,-61.3333,0.12
1/1/2003,15.5,-90.25,10.66
1/1/2003,17.05,-61.8,0.4
1/1/2003,17.25,-88.75,0.43
1/1/2003,17.3333,-62.75,0.2
1/1/2003,18.25,-77.5,10.67
1/1/2003,18.5,-64.5,0.12
1/1/2003,19,-72.4167,1.71
1/1/2003,19,-70.6667,21.26
1/1/2003,21.5,-80,25.36
1/1/2003,21.75,-71.5833,0.1
1/1/2003,23,-102,439.79
1/1/2003,24.25,-76,1.52
1/1/2003,32.3333,-64.75,0.56
1/1/2003,38,-97,"5,991.32"
1/1/2003,60,-95,587.6
1/1/2003,72,-40,0.53
1/1/2003,-41,174,36.49
1/1/2003,-27,133,369.73
1/1/2003,-21.5,165.5,2.73
1/1/2003,-20,-175,0.12
1/1/2003,-18,175,1.04
1/1/2003,-16,167,0.08
1/1/2003,-15,-140,0.77
1/1/2003,-13.5833,-172.3333,0.15
1/1/2003,-8,159,0.16
1/1/2003,-8,178,0.01
1/1/2003,-6,147,3.94
1/1/2003,-0.5333,166.9167,0.07
1/1/2003,1.4167,173,0.04
1/1/2003,6.9167,158.25,0.14
1/1/2003,7.5,134.5,0.25
1/1/2003,9,168,0.08
1/1/2003,-34,-64,134.62
1/1/2003,-33,-56,4.53
1/1/2003,-30,-71,54.88
1/1/2003,-23,-58,4.03
1/1/2003,-17,-65,11.01
1/1/2003,-17,-65,11.01
1/1/2003,-10,-76,26.1
1/1/2003,-10,-55,317.51
1/1/2003,-2,-77.5,26.75
1/1/2003,4,-72,56.73
1/1/2003,4,-56,1.54
1/1/2003,5,-59,1.56
1/1/2003,8,-66,191.46
1/1/2003,8,-66,191.46
1/1/2002,-29.5,28.5,1.91
1/1/2002,-29,24,355.45
1/1/2002,-22,17,1.76
1/1/2002,-22,24,3.98
1/1/2002,-20.2833,57.55,2.88
1/1/2002,-20,30,11.9
1/1/2002,-20,47,1.23
1/1/2002,-18.25,35,1.54
1/1/2002,-15,30,1.96
1/1/2002,-13.5,34,0.84
1/1/2002,-12.5,18.5,12.6
1/1/2002,-12.1667,44.25,0.1
1/1/2002,-6,35,3.49
1/1/2002,-4.5833,55.6667,0.54
1/1/2002,-3.5,30,0.21
1/1/2002,-2,30,0.52
1/1/2002,-1,11.75,4.54
1/1/2002,-1,15,0.58
1/1/2002,0,25,0.9
1/1/2002,1,7,0.06
1/1/2002,1,32,1.51
1/1/2002,1,38,7.82
1/1/2002,2,10,4.98
1/1/2002,6,12,3.32
1/1/2002,6.5,-9.5,0.48
1/1/2002,7,21,0.25
1/1/2002,8,-5,6.96
1/1/2002,8,-5,6.96
1/1/2002,8,-2,7.23
1/1/2002,8,1.1667,1.32
1/1/2002,8,38,4.43
1/1/2002,8.5,-11.5,0.53
1/1/2002,9.5,2.25,2.05
1/1/2002,10,8,93.4
1/1/2002,10,49,0.59
1/1/2002,11,-10,1.77
1/1/2002,11.5,43,0.4
1/1/2002,12,-15,0.15
1/1/2002,13,-2,1
1/1/2002,13.4667,-16.5667,0.29
1/1/2002,14,-14,4.35
1/1/2002,15,19,0.17
1/1/2002,15,30,7.42
1/1/2002,15,39,0.6
1/1/2002,16,8,0.69
1/1/2002,17,-4,0.85
1/1/2002,20,-12,1.25
1/1/2002,25,17,47.47
1/1/2002,25,17,47.47
1/1/2002,27,30,125.78
1/1/2002,28,3,89.41
1/1/2002,32,-5,38.07
1/1/2002,34,9,20.56
1/1/2002,-8.55,125.5167,0.16
1/1/2002,-5,120,307.58
1/1/2002,1.3667,103.8,47.17
1/1/2002,2.5,112.5,132.22
1/1/2002,3.25,73,0.59
1/1/2002,4.5,114.6667,4.25
1/1/2002,4.5,114.6667,4.25
1/1/2002,7,81,10.95
1/1/2002,13,105,2.21
1/1/2002,13,122,70.16
1/1/2002,15,48,15.55
1/1/2002,15,100,205.78
1/1/2002,16,106,68.66
1/1/2002,16,106,68.66
1/1/2002,20,77,"1,047.60"
1/1/2002,21,57,25.23
1/1/2002,22,98,9.15
1/1/2002,22,98,9.15
1/1/2002,22.1667,113.55,1.52
1/1/2002,22.25,114.1667,39.49
1/1/2002,24,54,83.75
1/1/2002,24,90,33.19
1/1/2002,25,45,325.68
1/1/2002,25.5,51.25,40.7
1/1/2002,26,50.55,15.68
1/1/2002,27.5,90.5,0.4
1/1/2002,28,84,2.6
1/1/2002,29.3375,47.6581,57.98
1/1/2002,30,70,112.9
1/1/2002,31,36,16.42
1/1/2002,31.5,34.75,59.3
1/1/2002,32,53,397.8
1/1/2002,33,44,86.32
1/1/2002,33,65,1.06
1/1/2002,33.8333,35.8333,16.24
1/1/2002,35,33,7.17
1/1/2002,35,38,38.44
1/1/2002,35,105,"3,782.44"
1/1/2002,36,138,"1,277.24"
1/1/2002,37,127.5,463.63
1/1/2002,37,127.5,463.63
1/1/2002,39,35,217.65
1/1/2002,39,71,1.87
1/1/2002,40,45,3.08
1/1/2002,40,60,39.89
1/1/2002,40,127,68.64
1/1/2002,40.5,47.5,29.64
1/1/2002,41,64,127.94
1/1/2002,41,75,4.92
1/1/2002,42,43.5,3.35
1/1/2002,46,105,8.26
1/1/2002,48,68,146.78
1/1/2002,60,100,"1,528.96"
1/1/2002,60,100,"1,528.96"
1/1/2002,35,33,7.17
1/1/2002,35.8333,14.5833,2.44
1/1/2002,39,22,105.01
1/1/2002,39,35,217.65
1/1/2002,39.5,-8,69.56
1/1/2002,40,-4,334.01
1/1/2002,40,45,3.08
1/1/2002,40.5,47.5,29.64
1/1/2002,41,20,3.75
1/1/2002,41.8333,22,10.93
1/1/2002,42,19,2
1/1/2002,42,43.5,3.35
1/1/2002,42.5,1.6,0.53
1/1/2002,42.8333,12.8333,477.71
1/1/2002,43,25,46.17
1/1/2002,44,18,14.17
1/1/2002,44,21,45.17
1/1/2002,45.1667,15.5,22.05
1/1/2002,46,2,420.92
1/1/2002,46,15,16.51
1/1/2002,46,25,99.15
1/1/2002,47,8,43.46
1/1/2002,47,20,59.16
1/1/2002,47,29,4.05
1/1/2002,47.1667,9.5333,0.22
1/1/2002,47.3333,13.3333,72.15
1/1/2002,48,68,146.78
1/1/2002,48.6667,19.5,42.05
1/1/2002,49,32,294.2
