Year,Population,Country,CO2 (MT),Country Code,Continent,Continent_Code,GDP
1/1/1960,21906914,Iran,37.3586,IRN,Asia,AS,4199134389.43894
1/1/1960,7289760,Iraq,8.2562,IRQ,Asia,AS,1684121534.58415
1/1/1960,175574,Iceland,1.2125,ISL,Europe,EU,248434096.968726
1/1/1960,2114020,Israel,6.46,ISR,Asia,AS,2598500000
1/1/1960,50199700,Italy,109.2031,ITA,Europe,EU,40385288344.1911
1/1/1960,1628520,Jamaica,1.4684,JAM,North America,NA,699050678.98642
1/1/1960,933102,Jordan,0.74314,JOR,Asia,AS,
1/1/1960,92500572,Japan,232.4996,JPN,Asia,AS,44307342950.4
1/1/1960,9934563,Kazakhstan,112.1693,KAZ,Asia,AS,
1/1/1960,9934563,Kazakhstan,112.1693,KAZ,Europe,EU,
1/1/1960,8120080,Kenya,2.4241,KEN,Africa,AF,791265458.813328
1/1/1960,2172300,Kyrgyzstan,4.7996,KGZ,Asia,AS,
1/1/1960,5722370,Cambodia,0.2345,KHM,Asia,AS,637142865.714286
1/1/1960,41202,Kiribati,,KIR,Oceania,OC,
1/1/1960,51195,Saint Kitts and Nevis,,KNA,North America,NA,12366563.6119699
1/1/1960,25012374,South Korea,12.5401,KOR,Asia,AS,3957873925.93719
1/1/1960,269029,Kuwait,7.797,KWT,Asia,AS,
1/1/1960,1804941,Lebanon,2.576,LBN,Asia,AS,
1/1/1960,1118657,Liberia,0.16488,LBR,Africa,AF,190495600
1/1/1960,1448417,Libya,0.6925,LBY,Africa,AF,
1/1/1960,89697,Saint Lucia,0.014656,LCA,North America,NA,
1/1/1960,16493,Liechtenstein,,LIE,Europe,EU,
1/1/1960,9874476,Sri Lanka,2.2567,LKA,Asia,AS,1409873949.57983
1/1/1960,837270,Lesotho,,LSO,Africa,AF,34579308.4138317
1/1/1960,2778550,Lithuania,9.4784,LTU,Europe,EU,
1/1/1960,313970,Luxembourg,11.5078,LUX,Europe,EU,703925705.942958
1/1/1960,2120979,Latvia,6.0541,LVA,Europe,EU,
1/1/1960,167791,Macao,0.051296,MAC,Asia,AS,
1/1/1960,12328532,Morocco,3.636,MAR,Africa,AF,2037150716.33238
1/1/1960,2544000,Moldova,9.0695,MDA,Europe,EU,
1/1/1960,5099373,Madagascar,0.39938,MDG,Africa,AF,673081724.075966
1/1/1960,89863,Maldives,,MDV,Asia,AS,
1/1/1960,37771859,Mexico,63.0523,MEX,North America,NA,13056168000
1/1/1960,14662,Marshall Islands,,MHL,Oceania,OC,
1/1/1960,1488667,Macedonia,3.7675,MKD,Europe,EU,
1/1/1960,5263733,Mali,0.12091,MLI,Africa,AF,
